,Scrape_Date,Release_Date,Last_Seen,Occurences,Item_Name,Item_Type,Rarity,VC_Cost,Rating,Total_Vote
0,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Castle Peaks
",Back Bling,Frozen,"
The Devourer
",Rated: 4/5,from 33 votes
1,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Cold Dagger Pack
",Back Bling,Frozen,"
Black Ice Legends Pack
",Rated: 2/5,from 2 votes
2,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Ffrosty
",Back Bling,Frozen,"
Winterfest Challenges (S19)
",Rated: 3.56/5,from 9 votes
3,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Frosty Fox
",Back Bling,Frozen,"
Frost Broker
",Rated: 5/5,from 5 votes
4,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Frozebud
",Back Bling,Frozen,"
Black Ice Legends Pack
",Rated: 5/5,from 2 votes
5,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Frozen Iron Cage
",Back Bling,Frozen,"
Frozen Raven
",Rated: 3.79/5,from 24 votes
6,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Frozen Love Wings
",Back Bling,Frozen,"
Frozen Love Ranger
",Rated: 4.44/5,from 45 votes
7,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Frozen Red Shield
",Back Bling,Frozen,"
Frozen Red Knight
",Rated: 4.43/5,from 44 votes
8,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Glacial Backplate
",Back Bling,Frozen,"
Black Ice Legends Pack
",Rated: 5/5,from 2 votes
9,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Ice Kitsune
",Back Bling,Frozen,"
Snow Drift
",Rated: 4.5/5,from 16 votes
10,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Wings of Frost
",Back Bling,Frozen,"
Snowheart
",Rated: 3.6/5,from 20 votes
11,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Feathered Flames
",Back Bling,Lava,"
Magma Masters Pack
",Rated: 5/5,from 1 vote
12,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Fiery Jam
",Back Bling,Lava,"
Volcanic Assassin Bundle
",Rated: 2/5,from 1 vote
13,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Firestarter
",Back Bling,Lava,"
Blaze
",Rated: 4.11/5,from 18 votes
14,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Flaming Dual Kama
",Back Bling,Lava,"
Magma Masters Pack
",No Rating, 
15,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Molten Battle Shroud
",Back Bling,Lava,"
Molten Omen
",Rated: 4.71/5,from 17 votes
16,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Molten Crested Cape
",Back Bling,Lava,"
Molten Battle Hound
",Rated: 4.15/5,from 20 votes
17,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Molten Valkyrie Wings
",Back Bling,Lava,"
Molten Valkyrie
",Rated: 4.89/5,from 18 votes
18,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Tire Fire
",Back Bling,Lava,"
Magma Masters Pack
",Rated: 3.5/5,from 2 votes
19,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Altitude
",Back Bling,Legendary,"
Zenith Challenges
",Rated: 2.78/5,from 63 votes
20,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Ark Wings
",Back Bling,Legendary,"
Ark
",Rated: 4.19/5,from 99 votes
21,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Arroyo Pack
",Back Bling,Legendary,"

Tier 23 (S12)
",Rated: 4/5,from 11 votes
22,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Assassin Pack
",Back Bling,Legendary,"
John Wick
",Rated: 4.02/5,from 42 votes
23,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Atmosphere
",Back Bling,Legendary,"
Road Trip Mission (S10)
",Rated: 4.19/5,from 27 votes
24,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Backup Plan
",Back Bling,Legendary,"
Twitch Prime
",Rated: 4.07/5,from 176 votes
25,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Bamboo
",Back Bling,Legendary,"
P.A.N.D.A Team Leader
",Rated: 3.5/5,from 106 votes
26,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
 Battle Shroud
",Back Bling,Legendary,"
Omen
",Rated: 4.14/5,from 122 votes
27,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Birdshot
",Back Bling,Legendary,"
Crackshot
",Rated: 4.03/5,from 38 votes
28,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Black Hole
",Back Bling,Legendary,"
Zero
",Rated: 4.73/5,from 44 votes
29,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Black Shield
",Back Bling,Legendary,"
Black Knight
",Rated: 4.73/5,from 240 votes
30,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Bladed Wings
",Back Bling,Legendary,"
Shogun
",Rated: 3.97/5,from 30 votes
31,10/20/2022,Release Date: Never,Last Seen: Never,Occurrences: 0,"
Bomber Bag
",Back Bling,Legendary,"
Velocity
",Rated: 3.18/5,from 11 votes
